Regulatory Class,Model Year,0% Percentile,1% Percentile,5% Percentile,10% Percentile,20% Percentile,25% Percentile,50% Percentile,75% Percentile,80% Percentile,90% Percentile,95% Percentile,99% Percentile,100% Percentile,Actual Average Real-world MPG
"Car","1975","8.36886","9.03086","9.79933","10.14128","10.97825","11.18239","13.07128","16.71470","17.92604","20.94744","23.291595","27.40825","28.32103","13.45483"
"Car","1976","8.59173","10.20453","11.24589","11.65676","12.32371","12.72069","14.58623","17.25209","18.88903","22.87380","24.520721","28.24798","30.45343","14.86139"
"Car","1977","8.27473","10.53658","11.58456","12.38255","13.58213","13.97030","15.03486","17.28366","18.85096","24.26302","28.042245","33.82855","37.62411","15.58566"
"Car","1978","7.99112","11.26093","12.55784","13.21165","14.16374","14.91496","16.92435","19.75305","21.30054","25.00921","28.204063","32.70426","37.47900","16.93760"
"Car","1979","7.87802","11.95699","13.12938","13.71415","14.56409","15.12903","16.92063","20.43562","21.89033","24.91994","26.470277","30.99227","39.14726","17.24016"
"Car","1980","7.87802","13.85904","14.77110","15.88689","17.21460","17.56944","19.84246","23.08144","23.95523","26.63511","29.120163","36.06244","40.32906","20.01181"
"Car","1981","8.62419","14.64287","15.77940","16.99814","18.28701","18.61882","21.59955","25.33033","26.12263","28.64877","31.558544","37.89293","40.93584","21.41607"
"Car","1982","8.49215","15.44262","16.55787","16.99520","18.19224","19.05060","23.35734","26.04695","27.23325","29.58000","32.620766","38.92353","42.65854","22.20740"
"Car","1983","8.49215","16.29619","16.52810","16.96731","17.82521","18.36412","22.25568","26.74602","28.04676","31.18257","33.373064","36.58302","45.28932","22.08496"
"Car","1984","8.49215","16.57281","17.04704","17.28298","18.05718","19.33433","22.87409","26.54883","27.31118","29.88674","32.845414","38.17949","48.02982","22.42303"
"Car","1985","8.49215","17.60215","17.79755","18.35518","19.48541","19.89859","22.84724","26.70506","27.66981","29.89247","33.566441","38.99369","49.64493","22.98880"
"Car","1986","7.51979","17.98554","18.75252","19.52172","20.34093","20.55570","24.45084","26.62548","27.55621","30.11002","33.713432","39.34043","56.76327","23.69184"
"Car","1987","7.51645","18.23988","18.56581","19.17932","20.59883","21.21735","23.88582","27.08688","27.55737","30.14583","31.273018","38.08868","54.81866","23.75972"
"Car","1988","7.51311","18.12831","19.20024","19.43947","21.16448","22.40359","24.14293","27.19553","27.73240","30.48509","32.359349","37.93266","54.41978","24.08680"
"Car","1989","7.50976","17.98088","19.25131","19.55870","20.69319","21.70485","23.24543","26.34361","27.19645","29.12013","31.042467","37.65258","50.57181","23.64929"
"Car","1990","9.22759","17.47006","18.99784","19.28558","21.30220","21.45270","23.10590","25.96939","26.37964","28.34304","30.902172","34.58259","53.42818","23.29344"
"Car","1991","8.49911","17.11120","18.76569","19.54705","20.34419","21.05059","22.80407","26.09145","26.34062","29.20377","31.236335","36.67130","53.03079","23.25777"
"Car","1992","8.48669","16.39745","18.25497","19.49954","20.64938","20.78359","22.37267","25.43670","25.91908","28.46993","31.1978","39.14871","52.64267","22.87528"
"Car","1993","8.47427","15.07023","18.19784","19.22942","20.27974","21.27441","22.66138","25.72094","26.85891","28.43460","31.100034","35.75901","52.24992","22.99937"
"Car","1994","10.87425","17.07025","18.77940","19.60872","20.13951","20.90035","22.68121","25.64012","26.34581","28.53097","30.587113","35.78013","52.21880","23.01968"
"Car","1995","8.67035","16.77576","18.85480","19.42134","21.00742","21.73717","22.74545","26.01575","27.13572","29.01000","31.402033","33.84277","47.27101","23.27497"
"Car","1996","10.07710","16.66949","19.27243","19.48221","20.91927","21.28383","22.55239","25.69095","26.12622","29.10686","30.548827","33.87214","43.29089","23.11874"
"Car","1997","10.71663","16.92223","19.25314","19.36903","20.72743","21.12936","23.02034","25.34793","26.42171","28.80387","29.751075","33.24980","42.77649","23.16579"
"Car","1998","10.82986","17.04001","18.58772","19.43107","20.98143","21.29490","22.68170","25.26449","26.12931","28.67216","29.806717","31.51996","41.98644","23.01887"
"Car","1999","10.54316","17.07911","18.69191","19.37215","21.03738","21.24899","22.30516","24.46636","25.24291","27.79503","29.186859","30.89269","40.98002","22.70095"
"Car","2000","9.85266","17.10534","17.67770","19.49091","20.95667","21.31887","22.10975","24.33353","24.95173","27.16573","28.515933","30.97972","57.40790","22.51440"
"Car","2001","9.83993","16.91160","18.34310","19.40456","20.71977","20.84314","22.33980","25.10545","25.56601","27.77954","30.927358","31.91555","56.33896","22.63423"
"Car","2002","10.10390","16.47990","18.79493","19.67325","20.74827","21.33242","22.54792","24.95986","25.34195","27.34336","29.353614","31.74894","55.55932","22.78274"
"Car","2003","9.03716","17.07791","19.11794","19.70735","20.79415","21.21556","23.01365","25.09949","25.64251","28.05520","29.429102","32.38691","54.97594","23.01383"
"Car","2004","10.29102","17.36222","18.46853","19.13153","20.60893","20.98530","22.85033","25.44000","25.75792","28.01477","29.571349","35.33104","53.45578","22.85655"
"Car","2005","10.27419","17.23206","18.61931","19.37775","20.26731","21.14789","23.30163","25.72061","25.76208","29.14088","29.790451","41.79399","53.25372","23.14616"
"Car","2006","10.33068","16.91409","18.61475","19.12824","20.41540","21.10461","22.97225","25.53693","25.81185","28.81233","30.859478","42.93446","52.97179","23.02417"
"Car","2007","10.38365","17.23828","18.70448","19.58578","20.72951","21.22462","23.62681","25.87430","27.45964","30.23303","31.31931","42.93446","46.18377","23.70115"
"Car","2008","10.12758","17.12388","18.64089","19.80525","20.85966","21.35940","23.64579","26.58323","27.88160","30.29466","31.253142","42.93446","46.18377","23.87867"
"Car","2009","10.38365","17.17665","19.59064","20.63893","21.81214","22.59650","25.44614","28.06429","29.13554","30.86128","30.999885","42.93446","46.18377","24.97415"
"Car","2010","10.12758","18.05659","20.05628","20.73011","22.00908","22.73659","25.90981","29.04751","30.22143","30.80071","35.279561","42.93446","60.17054","25.70318"
"Car","2011","12.40453","18.41927","20.00086","21.19063","22.35530","22.96077","26.29650","27.56566","28.81745","30.41389","33.008564","41.51118","100.58807","25.38827"
"Car","2012","11.15552","18.82989","20.45658","21.93234","23.36180","24.05819","27.26513","30.31946","31.60271","32.70908","36.229985","47.41445","108.95211","26.87389"
"Car","2013","11.15552","19.14622","21.38543","22.38919","24.05819","25.10392","27.79358","31.59355","32.25192","33.17884","38.239723","47.75325","116.99007","27.64926"
"Car","2014","11.15552","19.01569","21.19909","22.38547","24.02413","24.88448","28.35851","31.16160","31.91181","33.93080","37.114187","47.75325","121.27382","27.62624"
"Car","2015","12.66081","19.09290","21.22587","22.70823","24.62179","25.65894","28.80748","31.90763","32.24244","33.60899","37.114187","59.63134","121.27382","28.23955"
"Car","2016","12.91040","18.90787","21.45152","23.35997","25.22571","26.04996","29.00907","32.18320","32.62158","34.67193","36.286041","67.22290","121.27382","28.52688"
"Car","2017","12.66524","19.15579","21.94105","23.65829","25.50980","26.10246","29.46006","33.05944","33.49410","35.51898","41.54317684","92.92757","132.64714","29.18757"
"Car","2018","11.20521","19.20465","22.56545","23.80669","25.75325","26.59477","29.90384","33.49903","34.03929","35.44091","45.75086723","117.02964","132.64714","29.88541"
"Car","2019","11.20521","18.91227","22.52156","23.78862","25.70929","26.70180","29.94235","33.80183","34.00140","35.67351","45.75086723","116.84912","132.64714","29.90685"
"Car","2020","10.59772","18.95273","22.82082","24.09399","26.12599","26.99907","30.95749","34.59374","35.02247","36.95703","52.37900508","119.47168","138.59900","30.65809"
"Car","Prelim. 2021","10.46191","19.21282","22.57507","24.01114","26.27363","27.22815","30.90917","33.98926","34.32809","49.97398","114.7598985","132.61018","139.90325","31.34905"
"Truck","1975","7.64409","7.86168","8.93340","9.15822","9.55860","9.75093","11.69995","13.34650","15.42734","17.84601","19.042039","19.16683","20.76310","11.63431"
"Truck","1976","7.78353","9.02426","9.66886","9.95511","10.38656","10.47093","11.88192","14.11182","15.55560","17.22286","19.650332","21.56820","23.04417","12.24713"
"Truck","1977","7.99150","8.84789","10.28311","10.85136","11.49567","11.63956","12.53986","15.47421","15.83874","19.55804","21.698749","25.58559","27.42202","13.28478"
"Truck","1978","8.02862","9.54842","10.37113","10.63044","10.98204","11.12650","12.19878","15.70487","16.25813","19.31965","22.529957","24.55255","27.82103","12.94860"
"Truck","1979","7.92542","7.95006","9.19713","9.56671","10.34918","10.72787","12.14108","15.45980","16.05795","19.44848","20.72016","25.26767","25.93004","12.52042"
"Truck","1980","8.40644","10.66809","11.35383","12.06472","13.18304","13.37775","16.14063","19.20560","20.33496","22.17884","23.109788","25.77715","38.25534","15.77936"
"Truck","1981","9.43372","11.35178","12.49341","13.33239","14.82239","15.19659","16.13299","20.26278","21.58118","25.03886","26.560773","31.17336","35.98000","17.09200"
"Truck","1982","10.08499","11.06581","12.11126","13.29738","14.78128","15.16003","17.11522","20.92948","22.78250","24.29988","26.436006","30.63281","36.95802","17.40582"
"Truck","1983","10.25754","10.96785","12.00581","13.41596","14.88346","15.42473","18.20541","21.98439","22.79393","25.15221","26.471776","30.03539","38.19450","17.72939"
"Truck","1984","9.51295","11.03597","12.04482","13.15187","14.72663","15.11155","18.26576","20.71791","21.49107","24.31665","25.892779","29.19776","36.14765","17.39887"
"Truck","1985","9.56423","11.36207","12.40880","13.61080","14.02972","14.65285","18.52477","20.98528","21.81697","23.99224","25.206238","28.38493","36.14765","17.46626"
"Truck","1986","10.35721","11.78143","13.52685","14.35538","15.08236","15.63677","18.57446","21.83418","22.94324","24.23701","25.749742","27.77593","35.95123","18.18471"
"Truck","1987","10.00921","11.57358","13.70176","14.22330","15.05970","15.80316","18.65066","21.45688","22.80099","23.74106","25.887011","27.61649","35.97317","18.28459"
"Truck","1988","9.84276","12.22936","13.75785","14.21789","15.34070","15.61429","18.48025","20.24214","21.53593","23.29141","24.9605","27.76074","27.76074","17.84859"
"Truck","1989","10.23866","11.63382","13.71579","14.35549","15.15293","15.47005","18.52925","20.04828","20.44830","22.64924","24.160218","24.80773","27.71320","17.55009"
"Truck","1990","9.97282","11.71312","13.55482","14.03573","14.93817","15.50603","17.64349","19.20168","20.75106","22.30471","24.127611","24.33593","27.62256","17.37636"
"Truck","1991","10.44047","12.45572","13.84386","14.37538","15.59742","16.10466","18.19331","19.82578","20.50670","23.03716","23.966593","24.84537","27.48393","17.76132"
"Truck","1992","10.43111","12.49967","13.98404","14.32179","15.16043","15.69694","17.60569","19.59311","20.21908","21.84569","23.29439","24.66196","27.33101","17.34505"
"Truck","1993","10.45393","12.93462","13.88094","14.14479","15.38460","15.92098","17.83664","19.40907","19.85397","21.82845","23.667769","24.60432","27.18383","17.51282"
"Truck","1994","12.22691","13.01423","13.84195","14.12152","14.93896","15.30241","17.36589","19.59245","19.61490","22.34847","23.367985","23.85353","27.03758","17.17211"
"Truck","1995","12.23402","12.77387","13.68584","13.93904","14.88719","15.08081","16.93151","19.00938","19.25492","21.46519","23.453535","24.11631","26.93917","16.95219"
"Truck","1996","12.23093","12.28433","13.84087","14.35016","14.84224","15.16858","17.36526","19.40208","19.55552","21.53213","22.670093","24.32542","25.57174","17.15010"
"Truck","1997","11.98829","13.07660","13.65731","14.53168","15.01784","15.31602","16.76326","18.58360","18.95147","20.01280","22.006441","24.19652","25.47273","16.84238"
"Truck","1998","12.91954","13.06776","13.64285","14.20914","14.68501","15.08778","17.22131","19.22313","19.75199","21.48585","22.514026","23.93705","25.09848","17.06881"
"Truck","1999","13.01019","13.01019","13.58880","13.87801","14.74524","15.04012","16.76939","18.57377","19.33426","20.29958","21.68427","23.90958","24.70851","16.62228"
"Truck","2000","12.62871","13.12581","13.82542","14.51169","15.31464","15.32832","16.84024","18.73618","19.50327","20.09921","21.560632","22.55701","24.75875","16.83964"
"Truck","2001","11.78683","11.78683","13.37744","14.07342","14.86978","15.12396","16.31845","18.71485","19.06548","19.91273","21.070428","22.53722","23.61383","16.51239"
"Truck","2002","12.39472","12.61602","13.78630","14.41242","14.97806","15.13031","16.19095","18.20294","18.93976","19.83308","20.924921","22.55465","25.76178","16.48031"
"Truck","2003","10.87565","13.04261","13.76555","14.14180","14.80992","15.21442","16.31773","18.76154","19.40428","20.76769","21.679658","22.53537","23.91714","16.68234"
"Truck","2004","10.35938","13.46630","13.75432","14.28245","14.75383","14.97273","16.34061","18.03818","18.94099","20.20462","20.817682","22.20179","23.76213","16.50950"
"Truck","2005","9.81869","13.16446","14.23854","14.47980","14.93085","15.32786","16.67190","18.80103","19.14807","20.58154","21.361069","22.16237","27.02159","16.89862"
"Truck","2006","9.81966","13.95160","14.24358","14.70731","15.31359","15.40710","17.11146","19.12824","19.68169","20.83579","22.084903","25.37908","27.02159","17.16932"
"Truck","2007","12.17564","13.99291","14.64319","14.99696","15.73561","15.92337","17.07837","19.16081","19.50459","20.83385","22.415972","23.55253","27.06876","17.35129"
"Truck","2008","12.17564","14.26646","14.75328","15.02398","16.05007","16.30874","17.62008","19.73873","19.96485","22.08415","22.743094","24.90159","27.93368","17.80566"
"Truck","2009","12.38011","14.79819","15.26343","15.68312","16.57333","16.66877","18.90820","20.39306","20.93194","22.58585","23.356944","25.00091","28.32385","18.52504"
"Truck","2010","12.24178","14.61665","15.28750","15.75138","16.52181","17.15049","18.88479","20.88329","21.25767","23.30163","23.895979","24.77682","28.66545","18.76570"
"Truck","2011","6.66735","14.61003","15.37475","16.19724","17.33584","17.64176","19.14904","21.14729","22.04582","23.69522","24.143017","24.44750","28.19798","19.09259"
"Truck","2012","9.14030","14.74319","15.41004","16.08579","17.44388","17.70837","19.39645","21.30886","22.11552","23.58460","24.810669","25.37363","29.13276","19.27687"
"Truck","2013","9.14030","14.69284","15.48411","16.62378","17.65846","17.69723","19.58092","22.11552","23.34335","25.03094","25.764129","27.95892","28.50959","19.75404"
"Truck","2014","9.14030","14.86923","16.07781","16.85536","17.93341","18.34105","20.22698","22.98276","24.07209","25.82367","26.653192","28.37022","30.63504","20.33351"
"Truck","2015","12.66025","15.27393","17.40962","17.79878","18.80857","19.09949","20.70774","23.73329","24.32852","27.64933","28.370224","28.72873","31.46993","21.05063"
"Truck","2016","11.87845","15.09201","17.25192","17.85067","18.55156","18.94510","21.10301","23.72049","24.91771","27.59965","28.085854","29.31591","31.80330","21.19859"
"Truck","2017","10.76034","15.05975","17.14868","17.72267","18.46288","18.90262","21.52614","23.80087","24.86495","28.16625","29.01903499","30.73957","48.49993","21.34738"
"Truck","2018","10.76034","15.05975","17.52107","18.10559","19.17453","19.47846","21.82613","24.97370","25.62507","28.47348","30.14820881","31.67787","93.54164","21.87867"
"Truck","2019","11.95482","15.02274","17.35835","17.71870","18.88635","19.49996","22.09159","24.94867","25.82127","28.71374","30.14820881","33.73805","100.48066","21.97225"
"Truck","2020","12.82735","14.79617","17.30334","17.74374","19.18067","20.10168","22.52354","25.41856","26.55359","29.76842","30.4647","37.40348","103.89336","22.36613"
"Truck","Prelim. 2021","12.33223","14.87769","16.70901","17.46166","19.04316","20.07554","22.57336","26.64445","27.94484","29.83321","34.93625359","39.10414","77.61177","22.58129"
